,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_col_transformer__Direction,param_col_transformer__Speed,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
75,0.00039992332458496096,0.0004898045107513046,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(RandomForestRegressor(), {'random_forest__n_estimators': [50, 100, 200], 'random_forest__max_depth': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (RandomForestRegressor(), {'random_forest__n_estimators': [50, 100, 200], 'random_forest__max_depth': [5, 10, 20]})}",,,,,,,,10
76,0.0005999565124511719,0.0004898710975958976,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(GradientBoostingRegressor(), {'gradient_boosting__n_estimators': [50, 100, 200], 'gradient_boosting__learning_rate': [0.01, 0.1, 1], 'gradient_boosting__max_depth': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (GradientBoostingRegressor(), {'gradient_boosting__n_estimators': [50, 100, 200], 'gradient_boosting__learning_rate': [0.01, 0.1, 1], 'gradient_boosting__max_depth': [5, 10, 20]})}",,,,,,,,10
77,0.0006021976470947266,0.0004917141769724919,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(KNeighborsRegressor(), {'knn__n_neighbors': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (KNeighborsRegressor(), {'knn__n_neighbors': [5, 10, 20]})}",,,,,,,,10
78,0.0006020069122314453,0.0004915414965364924,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(SVR(), {'svr__C': [0.1, 1, 10], 'svr__gamma': ['scale', 'auto']})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (SVR(), {'svr__C': [0.1, 1, 10], 'svr__gamma': ['scale', 'auto']})}",,,,,,,,10
79,0.0009976863861083985,4.57763671875e-06,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(MLPRegressor(), {'mlp__hidden_layer_sizes': [(50,), (100,), (50, 50)], 'mlp__activation': ['relu', 'tanh', 'logistic'], 'mlp__alpha': [0.0001, 0.001, 0.01], 'mlp__learning_rate': ['constant', 'invscaling', 'adaptive']})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (MLPRegressor(), {'mlp__hidden_layer_sizes': [(50,), (100,), (50, 50)], 'mlp__activation': ['relu', 'tanh', 'logistic'], 'mlp__alpha': [0.0001, 0.001, 0.01], 'mlp__learning_rate': ['constant', 'invscaling', 'adaptive']})}",,,,,,,,10
80,0.0006016254425048828,0.000491297535289597,0.0,0.0,OneHotEncoder(),,LinearRegression(),"{'col_transformer__Direction': OneHotEncoder(), 'col_transformer__Speed': None, 'model': LinearRegression()}",,,,,,,,10
81,0.0008247852325439453,0.00041500961522688694,0.0,0.0,OneHotEncoder(),,"(Ridge(), {'ridge__alpha': [0.1, 1, 10]})","{'col_transformer__Direction': OneHotEncoder(), 'col_transformer__Speed': None, 'model': (Ridge(), {'ridge__alpha': [0.1, 1, 10]})}",,,,,,,,10
82,0.00020003318786621094,0.0004000663757324219,0.0,0.0,OneHotEncoder(),,"(Lasso(), {'lasso__alpha': [0.1, 1, 10]})","{'col_transformer__Direction': OneHotEncoder(), 'col_transformer__Speed': None, 'model': (Lasso(), {'lasso__alpha': [0.1, 1, 10]})}",,,,,,,,10
83,0.0007998466491699219,0.00039992396419551775,0.0,0.0,OneHotEncoder(),,"(ElasticNet(), {'elastic_net__alpha': [0.1, 1, 10], 'elastic_net__l1_ratio': [0.25, 0.5, 0.75]})","{'col_transformer__Direction': OneHotEncoder(), 'col_transformer__Speed': None, 'model': (ElasticNet(), {'elastic_net__alpha': [0.1, 1, 10], 'elastic_net__l1_ratio': [0.25, 0.5, 0.75]})}",,,,,,,,10
84,0.00040001869201660155,0.000489920893719676,0.0,0.0,OneHotEncoder(),,"(DecisionTreeRegressor(), {'decision_tree__max_depth': [5, 10, 20]})","{'col_transformer__Direction': OneHotEncoder(), 'col_transformer__Speed': None, 'model': (DecisionTreeRegressor(), {'decision_tree__max_depth': [5, 10, 20]})}",,,,,,,,10
85,0.000786447525024414,0.00039368998381479945,0.0,0.0,OneHotEncoder(),,"(RandomForestRegressor(), {'random_forest__n_estimators': [50, 100, 200], 'random_forest__max_depth': [5, 10, 20]})","{'col_transformer__Direction': OneHotEncoder(), 'col_transformer__Speed': None, 'model': (RandomForestRegressor(), {'random_forest__n_estimators': [50, 100, 200], 'random_forest__max_depth': [5, 10, 20]})}",,,,,,,,10
